,label
1,dog
2,ship
3,truck
4,frog
5,automobile
6,automobile
7,automobile
8,horse
9,horse
10,automobile
11,frog
12,frog
13,truck
14,frog
15,frog
16,ship
17,truck
18,frog
19,truck
20,frog
21,frog
22,deer
23,frog
24,frog
25,frog
26,truck
27,automobile
28,frog
29,bird
30,truck
31,dog
32,ship
33,frog
34,dog
35,dog
36,horse
37,horse
38,frog
39,ship
40,dog
41,ship
42,ship
43,ship
44,horse
45,automobile
46,frog
47,dog
48,frog
49,frog
50,frog
51,frog
52,automobile
53,deer
54,deer
55,frog
56,frog
57,deer
58,frog
59,dog
60,truck
61,automobile
62,automobile
63,ship
64,automobile
65,automobile
66,ship
67,horse
68,truck
69,frog
70,ship
71,horse
72,frog
73,truck
74,frog
75,bird
76,bird
77,ship
78,frog
79,dog
80,dog
81,bird
82,deer
83,dog
84,ship
85,deer
86,frog
87,deer
88,dog
89,frog
90,truck
91,ship
92,frog
93,frog
94,automobile
95,ship
96,ship
97,automobile
98,frog
99,dog
100,frog
101,frog
102,frog
103,truck
104,frog
105,frog
106,frog
107,automobile
108,frog
109,frog
110,ship
111,horse
112,horse
113,automobile
114,horse
115,horse
116,horse
117,automobile
118,truck
119,truck
120,truck
121,truck
122,truck
123,truck
124,truck
125,frog
126,frog
127,truck
128,truck
129,frog
130,frog
131,bird
132,bird
133,frog
134,horse
135,frog
136,truck
137,frog
138,ship
139,ship
140,truck
141,truck
142,dog
143,frog
144,horse
145,horse
146,frog
147,frog
148,automobile
149,bird
150,horse
151,deer
152,horse
153,ship
154,ship
155,truck
156,truck
157,truck
158,dog
159,dog
160,automobile
161,automobile
162,ship
163,frog
164,frog
165,frog
166,truck
167,horse
168,horse
169,frog
170,ship
171,truck
172,truck
173,truck
174,frog
175,truck
176,frog
177,automobile
178,dog
179,frog
180,frog
181,frog
182,ship
183,dog
184,frog
185,automobile
186,ship
187,automobile
188,frog
189,ship
190,ship
191,ship
192,ship
193,ship
194,truck
195,truck
196,dog
197,frog
198,dog
199,frog
200,ship
201,horse
202,frog
203,truck
204,truck
205,frog
206,truck
207,ship
208,ship
209,truck
210,truck
211,truck
212,automobile
213,horse
214,horse
215,truck
216,frog
217,dog
218,frog
219,horse
220,truck
221,frog
222,ship
223,dog
224,truck
225,frog
226,truck
227,truck
228,truck
229,horse
230,dog
231,automobile
232,automobile
233,automobile
234,frog
235,frog
236,ship
237,automobile
238,automobile
239,ship
240,dog
241,dog
242,dog
243,dog
244,frog
245,frog
246,frog
247,dog
248,deer
249,ship
250,frog
251,frog
252,truck
253,ship
254,horse
255,horse
256,truck
257,truck
258,automobile
259,frog
260,truck
261,truck
262,frog
263,ship
264,frog
265,frog
266,ship
267,ship
268,automobile
269,deer
270,truck
271,truck
272,automobile
273,horse
274,frog
275,truck
276,frog
277,horse
278,frog
279,truck
280,truck
281,truck
282,truck
283,deer
284,frog
285,frog
286,frog
287,ship
288,horse
289,horse
290,horse
291,ship
292,frog
293,frog
294,ship
295,horse
296,truck
297,truck
298,dog
299,frog
300,automobile
301,bird
302,horse
303,automobile
304,horse
305,automobile
306,automobile
307,frog
308,frog
309,cat
310,ship
311,ship
312,automobile
313,automobile
314,frog
315,frog
316,frog
317,truck
318,truck
319,horse
320,truck
321,deer
322,frog
323,frog
324,frog
325,frog
326,frog
327,frog
328,frog
329,dog
330,dog
331,horse
332,frog
333,automobile
334,truck
335,frog
336,frog
337,frog
338,horse
339,automobile
340,bird
341,horse
342,horse
343,dog
344,frog
345,frog
346,ship
347,ship
348,frog
349,frog
350,frog
351,dog
352,frog
353,frog
354,frog
355,frog
356,frog
357,horse
358,frog
359,frog
360,frog
361,frog
362,deer
363,truck
